shop_id,shop_area_sq_ft,shop_profile,quantity_sold,tot_sales_amount,customer_id,invoice_id,transaction_date,BOTTLED DRINKING WATER 1.5L,BOTTLED DRINKING WATER 500ML,CHOCOLATE MILK 180ML,CREAM SODA 1.5L,CREAM SODA 1L,CREAM SODA 500ML,CREAM SODA APPLE POP 1L,DRY GINGER ALE PET 500ML,FIT O MANGO 1L,FIT O MANGO 200ML,FIT O MIXED FRUIT 1L,FIT O MIXED FRUIT 200ML,FIT O ORANGE 1L,FIT O ORANGE 200ML,GINGER BEER 1.5L,GINGER BEER 1L,GINGER BEER 400ML,GINGER BEER 500ML,GINGER BEER SUGAR FREE 500ML,KIK COLA 1L,LEMONADE 1.5L,LEMONADE 1L,LEMONADE 500ML,LIME CRUSH JUICE 1L,NECTO 1.5L,NECTO 1L,NECTO 500ML,ORANGE BARLEY 1.5L,ORANGE CRUSH 1.5L,ORANGE CRUSH 1L,ORANGE CRUSH 500ML,SODA 1L,SODA 500ML,SODA PET 1.5L,STRAWBERRY MILK 180ML,TONIC PET 500ML,TWISTEE APPLE 1L
SHOP116,733,Moderate,4173,3334620,2242,3130,62,438,522,0,482,29,332,152,243,77,171,104,140,244,294,758,346,38,158,110,17,167,27,97,0,273,13,50,342,41,13,56,506,939,488,117,680,56
SHOP005,617,Low,4201,2148520,2203,3184,62,275,316,4,566,49,430,164,67,121,108,86,141,322,285,873,456,65,187,107,26,214,38,103,0,476,25,35,222,128,15,50,227,874,246,176,251,56
SHOP065,548,Low,3494,1562700,1731,2551,62,112,220,0,475,92,535,124,64,76,86,56,70,164,265,988,503,42,128,79,34,121,28,80,0,242,30,36,259,141,19,53,182,470,225,120,202,40
SHOP104,537,Moderate,2630,1637380,1492,2014,62,130,210,0,359,33,268,123,80,62,19,73,127,215,201,650,237,36,87,94,28,109,22,60,0,223,20,24,259,39,11,32,208,503,265,119,290,29
SHOP091,676,High,4921,2465805,2621,3768,62,384,431,0,757,48,516,184,114,144,144,137,158,360,446,1049,359,34,268,99,45,166,58,103,0,550,39,76,261,123,20,77,172,1079,294,220,410,64
SHOP015,441,Low,2889,1415765,1415,2401,62,105,102,0,765,0,379,188,43,46,105,74,114,138,194,668,0,55,133,84,81,182,14,67,0,396,0,45,473,125,0,63,71,291,68,94,64,44
SHOP062,495,High,5343,2157105,3081,4076,62,551,527,0,512,86,839,256,126,174,287,142,319,361,663,750,453,64,297,109,42,112,28,197,0,263,41,130,275,81,24,103,149,1157,135,221,232,56
SHOP084,617,Low,5913,2927550,2892,4503,62,257,405,0,817,51,602,236,283,139,192,121,232,315,300,1131,329,39,216,165,65,264,36,136,0,523,34,50,563,225,40,69,437,1475,662,148,554,107
SHOP032,707,Moderate,2837,1372205,1569,2168,62,131,221,0,467,31,224,127,52,66,70,79,131,127,186,689,296,45,119,87,30,116,32,49,0,228,15,29,253,169,10,42,98,583,156,164,178,69
SHOP041,676,Low,3164,1531770,1606,2483,62,127,294,0,514,40,357,149,54,98,83,81,102,132,141,560,259,38,112,97,30,102,35,64,0,359,40,59,309,94,17,70,176,619,226,132,231,48
SHOP051,676,High,4404,2441265,2175,3231,62,250,573,0,490,53,561,107,156,114,162,135,121,272,229,628,765,45,201,123,14,224,27,116,0,200,15,71,244,102,17,78,373,897,301,80,724,102
SHOP066,470,High,3075,2260285,1586,2534,62,173,242,0,531,0,344,87,72,64,92,93,123,158,121,990,0,55,163,80,16,169,9,60,0,687,0,45,381,114,0,34,147,370,340,71,420,52
SHOP088,709,High,4577,2057905,2661,3467,62,690,1569,0,229,47,879,190,81,91,394,87,331,152,592,214,330,77,332,79,58,76,34,156,0,121,23,82,118,49,25,116,110,1064,257,155,250,43
SHOP006,676,Low,3763,1876955,2032,2887,62,171,300,0,695,64,436,177,69,81,115,79,232,108,355,1026,365,15,122,93,54,84,37,66,0,299,13,37,285,112,25,57,152,789,270,175,179,58
SHOP120,517,Low,2254,1272710,1204,1780,60,89,215,0,470,30,296,71,28,55,58,63,80,96,162,432,180,12,118,40,11,65,13,25,0,245,13,42,181,91,22,68,124,553,120,84,184,20
SHOP036,351,Moderate,3776,2135745,2000,2998,62,170,346,2,489,1,623,60,175,98,149,97,115,276,250,908,0,17,227,154,30,243,24,123,0,282,0,71,381,93,0,66,227,927,223,158,498,30
SHOP027,594,Moderate,3555,1543645,1920,2719,62,221,342,0,562,54,435,92,118,96,75,68,116,185,295,729,310,38,123,80,51,176,34,51,0,195,23,25,164,90,16,43,172,644,382,128,290,65
SHOP011,617,High,6359,3550120,3186,4855,62,287,542,0,1025,58,911,201,301,107,177,126,211,324,342,1337,214,38,307,97,41,310,18,209,0,469,19,85,524,201,45,88,410,1352,736,148,652,70
SHOP077,852,High,5665,2733130,2997,4260,62,294,624,0,926,114,668,285,98,135,185,162,143,446,472,1231,650,80,185,90,55,356,40,168,23,346,28,90,582,197,44,94,235,617,340,132,215,82
SHOP069,441,Low,3533,1976075,1910,2850,62,159,191,0,826,0,711,168,39,89,75,139,83,206,184,897,0,50,216,92,16,227,26,67,0,332,0,77,290,108,0,74,150,489,173,124,232,37
SHOP016,1077,High,5837,3734470,3091,4478,62,171,422,0,493,76,508,168,490,112,133,94,140,370,386,898,628,105,246,119,24,226,39,122,21,251,21,45,282,87,22,60,781,1284,957,123,1585,33
SHOP106,617,Low,3825,1653060,2048,2860,62,141,208,0,571,94,436,153,83,72,79,75,82,167,149,759,673,39,147,122,52,201,41,34,0,214,43,56,339,145,56,34,149,1086,126,117,150,85
SHOP031,298,Moderate,3652,3271120,2051,2822,62,309,782,0,391,0,524,112,183,95,178,121,163,296,489,645,0,46,249,169,42,205,24,121,0,226,0,54,327,54,0,92,262,749,276,141,479,56
SHOP105,441,Low,3064,1727280,1641,2512,62,153,187,0,578,0,275,170,47,64,142,75,143,172,270,836,0,23,76,49,44,167,23,71,0,836,0,24,513,133,0,51,55,299,73,190,45,76
SHOP118,617,Moderate,4901,2848835,2539,3881,62,243,356,0,1126,39,550,159,62,106,230,84,348,240,440,1538,265,26,208,94,29,197,28,77,0,512,29,48,388,147,21,72,147,793,286,178,187,59
SHOP127,848,High,4142,3975045,2337,3072,62,417,1160,0,531,26,492,262,77,108,144,112,247,278,500,911,269,85,233,92,10,221,35,114,11,280,25,64,521,107,6,52,194,700,206,150,447,42
SHOP095,576,Low,2589,1259515,1392,2005,62,151,194,0,492,22,285,100,35,65,108,76,89,151,195,651,256,47,84,48,9,78,14,45,0,322,16,30,246,104,21,56,119,335,190,86,141,19
SHOP060,676,Low,3809,1745140,2006,2896,62,429,502,0,579,23,804,137,45,68,123,92,179,191,232,750,257,55,232,60,27,89,20,97,0,281,18,52,266,107,19,116,79,646,143,142,104,61
SHOP067,676,Low,3269,1794665,1837,2555,62,151,405,0,562,28,452,99,89,71,82,84,169,169,219,636,178,32,94,72,35,110,26,51,0,288,26,32,316,94,20,47,174,709,294,141,275,59
SHOP071,704,Low,2472,934390,1540,1915,62,178,192,0,357,39,261,83,25,75,88,72,89,124,142,436,263,41,79,45,20,75,33,37,0,163,18,19,140,69,12,38,170,643,109,116,157,43
SHOP073,676,Low,4094,1806015,2153,3249,62,167,308,0,526,58,376,172,100,74,54,92,78,237,161,958,392,30,115,99,42,211,25,90,0,264,21,31,312,118,15,62,340,834,455,134,295,51
SHOP035,381,Moderate,2527,1423730,1277,1781,62,121,205,6,298,44,327,76,135,68,59,62,85,157,262,349,322,37,163,92,19,106,51,77,0,155,24,60,201,56,26,76,113,704,144,113,308,36
SHOP021,676,Low,3548,1873860,1874,2632,62,185,364,0,598,51,383,273,41,69,133,76,175,212,223,941,410,45,136,112,32,151,25,83,0,317,26,34,395,79,11,62,158,498,205,163,150,50
SHOP103,706,Moderate,2607,1707520,1368,2085,62,97,74,0,814,34,212,160,34,39,102,103,150,149,159,677,243,39,143,49,27,139,17,62,0,221,3,18,316,42,13,28,94,329,118,138,216,43
SHOP053,617,Moderate,4275,2198800,2417,3238,62,361,474,0,617,35,781,127,110,59,195,71,165,195,333,1173,217,78,236,109,25,212,44,121,12,246,24,74,326,102,25,109,111,585,248,153,147,67
SHOP085,617,Low,3611,1785495,2046,2848,62,181,318,6,517,41,403,224,97,83,95,94,77,162,262,912,232,31,155,77,57,217,19,68,0,284,22,49,304,137,14,61,120,591,299,205,231,48
SHOP063,676,High,3912,2238925,2181,3000,62,257,491,0,544,50,523,148,96,122,111,96,116,279,210,1082,343,68,183,65,38,223,33,97,0,309,23,45,283,151,30,72,172,515,256,103,164,69
SHOP048,617,Moderate,2958,1791290,1678,2179,62,252,347,3,520,36,431,117,35,82,67,55,122,190,226,651,342,39,152,63,15,139,29,46,0,214,24,36,282,74,14,62,105,403,156,118,144,33
SHOP055,720,Moderate,2462,931695,1370,1915,55,102,152,22,342,60,289,107,23,31,83,53,73,126,138,653,286,20,101,32,23,136,13,48,0,167,23,25,124,85,15,28,126,457,105,153,124,20
SHOP125,1028,High,1866,1348395,893,1275,62,142,355,0,81,23,351,25,88,36,68,33,45,136,239,163,224,38,195,119,14,58,41,81,7,44,6,37,56,15,23,42,216,765,259,52,300,25
SHOP014,617,Moderate,4525,2055500,2303,3352,62,242,405,6,458,67,551,186,130,83,70,69,147,172,255,871,628,33,116,129,64,163,33,124,0,241,34,35,262,116,46,33,272,1342,412,126,448,76
SHOP008,678,Moderate,272,131245,189,203,6,21,25,4,43,7,43,31,0,7,6,5,7,12,2,79,37,0,9,5,1,18,0,11,0,18,2,2,7,5,0,4,14,27,8,21,21,0
SHOP089,676,Moderate,3781,2003550,1956,2842,62,299,566,0,428,86,491,186,100,92,177,84,150,294,348,641,550,83,241,108,30,186,73,85,5,212,14,68,347,80,19,109,101,577,187,133,157,89
SHOP075,709,High,4678,2126605,2671,3656,62,294,527,0,425,23,516,124,178,86,146,93,177,184,322,927,334,59,242,144,33,153,46,150,0,277,18,66,220,101,32,85,292,1366,379,122,596,62
SHOP020,617,Moderate,4758,2828540,2362,3538,62,287,484,3,993,107,372,307,67,116,101,160,132,335,406,1234,754,45,191,175,30,234,51,65,0,288,49,61,479,151,39,68,187,920,163,153,233,44
SHOP086,661,High,6016,2697370,3164,4537,62,268,464,0,696,115,607,191,179,151,166,132,237,338,266,1068,1000,94,215,124,64,241,41,130,0,339,41,51,436,176,27,110,495,1173,557,109,545,52
SHOP026,676,Moderate,4263,2199625,2115,3317,62,166,411,6,694,59,419,256,49,109,211,87,344,238,487,984,198,28,148,143,32,203,29,100,0,574,22,63,498,174,13,47,72,638,187,263,69,75
SHOP068,617,Low,4581,2702400,2355,3521,62,270,279,5,1034,51,468,272,51,85,164,142,287,234,432,1018,291,37,133,87,20,368,30,78,0,481,8,55,468,248,38,59,123,839,211,272,170,53
SHOP090,730,Moderate,2371,1130905,1376,1880,62,123,160,0,406,29,198,117,47,64,85,64,64,116,194,632,288,37,85,38,28,71,29,29,0,158,19,34,172,65,13,48,177,449,147,118,94,43
SHOP022,735,High,3370,2183430,1753,2409,62,243,652,0,316,27,402,160,77,58,140,78,147,170,301,622,579,30,172,125,16,105,25,97,0,157,17,74,238,68,11,98,92,967,114,147,209,56
SHOP052,617,Low,4338,2396535,2467,3424,62,381,494,0,736,47,443,156,95,137,131,184,220,345,372,949,307,64,207,111,22,137,34,75,0,494,16,52,443,134,21,103,134,629,181,238,219,101
SHOP039,640,Moderate,4629,2855665,2469,3414,62,356,925,21,469,67,626,103,131,109,185,92,213,262,481,936,437,88,336,192,32,230,23,139,0,241,8,74,232,183,23,86,144,1025,250,182,264,55
SHOP003,810,High,3659,1922995,2064,2868,62,214,402,0,643,100,521,221,41,106,64,113,116,180,220,735,277,44,139,78,38,247,15,102,0,331,19,30,280,103,10,48,226,580,275,115,293,33
SHOP037,717,Low,3987,1821555,2129,2991,62,365,481,0,522,81,517,186,36,88,93,84,206,175,474,683,437,39,160,100,34,130,37,89,0,225,28,55,306,106,44,103,143,904,177,191,146,63
SHOP059,617,High,4808,2671250,2474,3602,62,270,493,0,751,75,791,153,95,87,166,117,278,183,308,875,559,62,256,116,46,149,43,115,0,381,59,93,407,134,47,108,185,988,226,122,166,33
SHOP043,676,High,6631,3106960,3501,4987,62,478,497,0,765,52,976,156,231,141,106,133,152,335,432,1339,461,64,357,153,42,247,25,130,0,405,21,95,415,194,35,110,428,2172,590,129,559,64
SHOP028,676,Low,3725,1997700,2036,2828,62,219,323,0,654,48,504,169,81,58,104,70,136,139,283,861,360,38,186,80,46,142,25,102,0,401,28,43,335,113,24,53,131,755,226,136,96,49
SHOP099,520,Low,4066,2206435,2172,3106,62,259,426,5,707,40,446,244,34,86,130,99,174,172,422,1051,273,42,94,84,13,167,35,58,0,619,23,44,452,117,20,47,140,628,183,338,156,48
SHOP033,776,High,5308,2939465,2763,3956,62,220,372,0,630,34,661,222,245,125,241,161,239,376,376,1029,456,79,204,156,32,278,34,164,0,411,23,132,441,164,29,74,301,881,690,129,428,71
SHOP013,631,Moderate,3859,2251060,1723,2799,62,208,313,0,308,49,654,89,256,146,158,120,134,219,346,603,467,91,184,107,25,276,41,135,24,129,18,77,176,59,21,93,328,959,301,118,438,42
SHOP058,551,High,5963,4696780,2827,4129,62,609,1036,0,647,85,716,209,159,168,233,207,281,477,630,1212,775,101,444,306,24,366,34,171,0,448,38,87,442,96,35,86,224,1794,315,259,614,66
SHOP113,617,Moderate,4665,2988550,2435,3514,62,145,625,0,732,59,629,218,101,136,73,159,169,330,380,1192,425,63,273,172,49,284,37,94,0,381,28,67,419,161,27,97,117,776,188,264,273,64
SHOP126,328,Moderate,3200,1893605,1769,2564,62,192,301,0,321,0,571,123,210,76,121,80,174,197,125,541,0,67,223,154,50,103,11,75,0,176,0,56,287,59,0,64,302,971,216,192,450,43
SHOP040,541,Moderate,3210,1832065,1603,2419,62,180,183,0,405,43,336,142,21,111,107,132,242,197,282,876,475,42,116,43,24,129,15,69,0,246,33,46,313,103,13,72,157,422,244,122,185,48
SHOP025,676,Low,3319,1836340,1667,2629,62,146,213,0,793,62,413,199,54,75,66,59,57,151,196,756,258,37,125,51,26,187,15,58,0,442,30,49,414,123,50,50,149,523,207,129,120,50
SHOP082,549,High,6048,2694095,3007,4445,62,218,413,0,933,174,524,326,114,94,253,110,264,258,396,1218,1331,31,243,127,69,298,69,134,0,449,73,63,474,138,38,61,233,1121,283,213,289,51
SHOP111,617,High,6027,3606120,2959,4532,62,249,630,0,544,93,738,200,354,141,196,164,176,548,371,959,530,51,286,180,44,339,40,195,0,302,27,77,409,135,23,93,460,1442,803,215,835,89
SHOP072,617,High,4450,2845915,2556,3358,62,401,613,5,556,58,539,209,58,154,106,115,153,337,366,853,387,41,221,149,29,279,32,107,0,324,15,70,252,195,11,89,131,1048,188,230,238,101
SHOP078,422,Moderate,4258,2663785,2073,3231,62,249,352,0,728,52,436,268,144,110,91,141,107,279,192,946,350,47,224,85,33,295,24,113,0,584,39,70,678,165,36,42,143,591,176,242,108,42
SHOP112,668,Moderate,2468,1223905,1308,1819,61,75,236,0,328,43,391,115,52,45,59,69,69,211,140,532,436,30,114,103,19,137,19,45,0,139,10,29,99,78,8,36,135,397,120,116,145,29
SHOP094,676,Low,4943,2134485,2260,3721,62,138,208,0,680,52,478,194,167,101,123,145,154,193,188,1007,509,34,145,101,69,210,38,101,0,387,28,29,349,153,27,74,605,1136,357,137,515,81
SHOP018,617,High,5551,6051205,2687,3973,62,380,1130,3,651,67,906,150,133,124,257,152,232,471,525,1052,590,89,470,210,23,320,42,185,0,276,36,66,400,176,26,95,267,1182,456,470,481,72
SHOP122,605,Moderate,3603,1917850,1894,2744,62,254,475,12,444,57,471,132,90,76,136,81,188,207,391,759,376,62,213,116,10,179,25,101,0,215,15,66,271,113,13,56,161,853,123,106,191,41
SHOP017,617,High,3915,1744815,2010,3046,62,123,287,0,458,68,340,109,88,82,66,77,145,182,233,791,356,23,134,74,66,210,35,73,0,294,9,30,333,133,23,45,363,957,486,79,268,55
SHOP045,742,High,4461,2047535,2614,3460,62,280,657,0,645,61,576,173,84,111,232,123,206,280,417,1035,402,88,181,91,27,244,39,112,0,278,14,73,359,133,25,49,142,501,172,209,204,85
SHOP007,617,Low,3662,2406355,1787,2904,62,192,196,0,1030,83,498,215,67,36,68,76,165,122,168,908,193,51,163,85,62,114,33,94,0,562,39,67,312,107,52,81,107,735,175,91,216,28
SHOP119,441,Moderate,3301,1640080,1591,2412,62,198,363,14,507,66,750,145,40,54,113,63,111,155,258,593,271,37,209,149,12,128,29,134,0,233,14,64,271,90,31,83,93,542,115,130,192,35
SHOP001,580,Low,2020,1485285,1118,1538,62,106,319,0,373,29,154,96,24,36,65,50,83,108,92,552,203,45,102,43,12,84,19,56,0,194,12,15,201,53,20,27,99,371,97,51,130,21
